33712	33521	33789	33865	33683	33749	33341	33708	33556
32900	33062	32523	32926	32859	33044	32975	32899	32857
32720	33144	33163	32900	32897	32941	32756	33039	32958
33462	33219	33335	33238	33363	33292	33357	33513	33193
33213	33397	33327	32746	33252	33280	33291	33003	33141
33082	33016	33043	32893	32867	33096	32802	32767	33003
32960	33023	32748	32818	32736	32825	32627	32946	32866
32773	32611	32720	32479	32610	32752	32791	32729	32712
32806	32429	32595	32698	32599	32549	32723	32440	32593
32849	32666	32642	32565	32486	32841	32612	32644	32588
33354	33319	33303	33323	33670	33534	33812	33160	33477
33587	33653	33578	33510	33775	33310	33560	33365	33233
32892	32914	32994	32759	33080	33054	33071	33169	33308
34082	33758	33862	33811	33769	33981	33744	33918	33852
33460	33464	33550	33443	33483	33527	33460	33643	33360
32627	32492	32576	32545	32375	32750	32365	32476	32760
33256	32954	33084	33109	33133	33043	33254	33197	33079
33055	33432	33509	33219	33254	33228	33435	33179	33153
33408	33233	33215	33351	33039	33044	33220	33285	33080
33362	33295	33490	33186	33463	33259	33503	33382	33471
33302	33405	33194	33262	33146	33425	33360	33414	33333
33442	33103	33349	33225	33361	33436	33742	33766	33188
32143	32225	32168	32081	32273	32147	32377	32066	32131
32462	32527	32477	33037	32507	32473	32921	32772	32728
32534	32876	32659	32607	32579	32823	32506	32628	32479
32862	33099	32751	32637	32890	32851	32835	32877	32498
32865	32828	32827	32795	33002	32808	32759	33094	32706
32627	32684	32567	32779	32670	32664	32574	32622	32834
33071	33285	32915	33112	33231	33188	33146	33205	33049
33134	33200	33288	33093	33116	33365	33081	33257	33202
33114	33204	33183	32988	33348	33280	33228	33567	33214
33721	33713	33742	33703	33404	33379	33779	33647	33790
32257	32757	32351	32398	32736	32493	32555	32397	32564
33861	33659	33694	33465	33396	33721	33927	33858	33626
33382	33214	33133	33318	33254	33296	33412	33052	33098
33414	33408	33879	33555	33458	33603	33425	33609	33319
32877	32935	33023	32971	32971	32815	32939	32929	32816
33392	32892	32985	32990	33150	33102	33247	33187	33376
33535	33301	33124	33252	33255	33293	33220	33316	33370
33515	33246	33717	33653	33646	33712	33434	33701	33511
32996	33150	33155	32865	33214	32935	33452	33068	33155
32747	32960	32633	33112	32785	32802	32880	32908	32976
33240	33323	33422	33495	33441	33403	33479	33458	33564
32662	32821	32936	32434	32613	32612	32739	32650	32554
